archetype,account_age_days,followers,following,posts_per_day,profile_completeness,follow_burst_rate,posting_variance,engagement_rate,is_fake
active_human,281,315,236,0.97,0.92,0.1,0.39,0.0433,0
active_human,1123,341,354,2.38,0.91,0.23,0.11,0.1109,0
active_human,494,289,337,2.43,0.55,0.11,0.18,0.1029,0
active_human,456,99,132,0.24,0.96,0.03,0.38,0.0851,0
compromised_bot,1000,979,6604,12.22,0.61,0.75,0.82,0.0055,1
follow_bot,5,120,8581,1.29,0.49,0.89,0.5,0.0001,1
spambot,2,55,2363,46.82,0.21,0.84,0.97,0.0007,1
lurker_human,755,55,62,0.02,0.5,0.03,0.28,0.0504,0
creator_human,1345,18297,289,1.39,0.88,0.14,0.31,0.1333,0
active_human,106,322,257,2.37,0.98,0.14,0.11,0.081,0
lurker_human,469,87,252,0.06,0.48,0.1,0.17,0.0592,0
active_human,634,171,197,0.29,0.96,0.12,0.14,0.0541,0
active_human,1154,183,241,2.46,0.84,0.11,0.36,0.0605,0
follow_bot,56,94,4648,0.33,0.56,0.94,0.4,0.0002,1
spambot,1,70,4369,37.42,0.45,0.75,0.75,0.0015,1
active_human,290,489,434,1.37,0.81,0.02,0.29,0.0869,0
follow_bot,52,166,7642,1.18,0.22,1.0,0.59,0.0006,1
follow_bot,45,56,5327,0.56,0.42,0.94,0.79,0.0002,1
active_human,844,223,240,2.14,0.87,0.19,0.31,0.0753,0
active_human,419,413,290,1.35,0.52,0.24,0.27,0.0236,0
lurker_human,214,144,199,0.09,0.41,0.01,0.26,0.028,0
active_human,1160,271,310,2.14,0.93,0.04,0.16,0.0281,0
lurker_human,423,53,145,0.09,0.65,0.08,0.12,0.0577,0
spambot,13,26,3794,17.39,0.3,0.74,0.78,0.001,1
active_human,587,428,414,1.69,0.85,0.14,0.36,0.0836,0
follow_bot,16,197,6746,1.0,0.38,0.93,0.78,0.0008,1
compromised_bot,1866,484,5944,17.51,0.63,0.66,0.79,0.0034,1
spambot,8,78,3125,32.03,0.19,0.84,0.92,0.001,1
compromised_bot,2199,928,6848,43.87,0.69,0.78,0.77,0.005,1
spambot,3,28,5632,26.93,0.34,0.91,0.81,0.0011,1
lurker_human,568,105,236,0.02,0.42,0.12,0.26,0.0277,0
compromised_bot,1534,1050,7077,32.11,0.66,0.74,0.7,0.0057,1
spambot,24,61,2562,19.56,0.27,0.72,0.88,0.0013,1
follow_bot,47,94,7846,0.3,0.5,0.94,0.44,0.0002,1
spambot,2,54,4181,22.33,0.28,0.77,0.89,0.0026,1
follow_bot,21,90,7312,0.93,0.34,0.96,0.59,0.0008,1
spambot,5,23,5634,36.72,0.19,0.81,0.89,0.0022,1
spambot,26,43,4572,49.05,0.18,0.81,0.86,0.0002,1
lurker_human,1059,80,352,0.13,0.58,0.12,0.07,0.0377,0
compromised_bot,2225,246,4756,17.59,0.6,0.95,0.81,0.0037,1
spambot,38,78,4283,17.89,0.24,0.73,0.83,0.0005,1
creator_human,1086,6267,968,4.41,1.0,0.19,0.26,0.0671,0
follow_bot,32,176,5956,1.38,0.53,0.99,0.69,0.0012,1
lurker_human,313,128,54,0.01,0.53,0.1,0.3,0.0175,0
creator_human,1389,12253,204,2.45,0.89,0.06,0.32,0.1275,0
compromised_bot,1570,1246,7136,43.07,0.8,0.72,0.74,0.0019,1
compromised_bot,1516,648,5323,11.64,0.59,0.66,0.75,0.0043,1
follow_bot,54,31,4984,0.87,0.42,0.98,0.56,0.0003,1
active_human,755,731,610,1.62,0.8,0.13,0.37,0.0498,0
lurker_human,875,93,322,0.05,0.56,0.12,0.17,0.0264,0
creator_human,1561,19275,459,3.44,0.91,0.22,0.25,0.1468,0
creator_human,836,8076,781,1.62,0.86,0.07,0.24,0.0548,0
active_human,917,225,309,0.39,0.72,0.06,0.29,0.0569,0
lurker_human,253,33,236,0.05,0.65,0.11,0.18,0.0366,0
active_human,1141,34,73,0.62,0.85,0.07,0.29,0.068,0
creator_human,1422,69351,847,1.45,0.89,0.12,0.28,0.0985,0
active_human,548,270,198,1.04,0.88,0.08,0.39,0.0691,0
spambot,26,70,2346,41.75,0.27,0.93,0.8,0.0029,1
spambot,4,24,5708,41.49,0.35,0.91,0.77,0.0015,1
compromised_bot,1644,458,7244,22.92,0.66,0.81,0.76,0.0024,1
spambot,2,67,7232,15.14,0.14,0.83,0.9,0.0024,1
active_human,685,409,570,2.36,0.66,0.04,0.34,0.0865,0
lurker_human,833,59,377,0.07,0.53,0.06,0.13,0.0474,0
lurker_human,434,72,153,0.04,0.59,0.06,0.13,0.0465,0
spambot,3,33,6908,41.67,0.41,0.92,0.79,0.0009,1
active_human,1134,337,341,1.43,0.98,0.01,0.1,0.0798,0
creator_human,1605,64061,971,3.04,0.91,0.14,0.34,0.0484,0
creator_human,2956,15202,927,3.08,0.87,0.23,0.31,0.0328,0
spambot,23,35,4949,18.45,0.13,0.73,0.95,0.0027,1
active_human,378,164,218,2.2,0.87,0.22,0.22,0.0737,0
compromised_bot,1185,1433,3974,35.81,0.66,0.72,0.74,0.002,1
active_human,524,1074,685,1.38,0.63,0.01,0.22,0.0627,0
spambot,7,34,3832,46.25,0.23,0.93,0.89,0.0009,1
spambot,12,42,2446,22.76,0.16,0.94,0.98,0.0011,1
active_human,319,183,148,1.72,0.89,0.04,0.3,0.0438,0
active_human,502,432,559,2.37,0.97,0.03,0.36,0.0843,0
spambot,37,73,5094,27.97,0.23,0.87,0.81,0.0019,1
lurker_human,675,72,391,0.12,0.44,0.07,0.3,0.0336,0
active_human,1569,26,64,0.79,0.85,0.07,0.14,0.0777,0
active_human,1403,434,363,0.51,0.74,0.06,0.11,0.0366,0
spambot,2,40,6990,27.27,0.24,0.78,0.84,0.0022,1
active_human,311,2010,2726,1.31,0.97,0.16,0.21,0.0613,0
spambot,14,29,6658,18.8,0.13,0.7,0.98,0.0,1
active_human,891,152,208,1.45,0.77,0.15,0.17,0.1188,0
compromised_bot,846,977,3900,16.32,0.7,0.92,0.61,0.0059,1
active_human,528,422,565,1.4,0.75,0.19,0.22,0.0772,0
follow_bot,8,112,3920,1.13,0.41,0.91,0.75,0.0008,1
lurker_human,406,142,88,0.01,0.42,0.02,0.06,0.034,0
creator_human,757,5966,439,3.58,0.89,0.07,0.22,0.0645,0
active_human,483,237,248,0.49,0.9,0.15,0.4,0.0943,0
active_human,867,167,230,0.31,0.8,0.07,0.18,0.0715,0
lurker_human,676,22,209,0.07,0.62,0.09,0.06,0.0547,0
follow_bot,15,124,8047,0.47,0.25,0.98,0.78,0.0017,1
follow_bot,44,44,4418,0.22,0.36,0.91,0.5,0.0014,1
lurker_human,388,59,350,0.08,0.61,0.1,0.14,0.0439,0
creator_human,1328,16983,191,3.98,0.98,0.19,0.32,0.1137,0
spambot,15,42,6295,22.93,0.41,0.94,0.76,0.0025,1
active_human,635,140,198,1.94,0.77,0.01,0.23,0.104,0
active_human,368,453,379,0.36,0.89,0.12,0.39,0.1169,0
spambot,3,11,1528,16.11,0.21,0.84,0.93,0.002,1
lurker_human,562,48,53,0.07,0.56,0.03,0.25,0.0447,0
active_human,615,155,152,2.42,0.78,0.04,0.27,0.0672,0
lurker_human,411,27,128,0.07,0.59,0.01,0.25,0.0247,0
compromised_bot,1177,1098,4026,26.85,0.54,0.69,0.81,0.004,1
active_human,411,271,253,1.2,0.8,0.02,0.37,0.0924,0
spambot,3,50,7291,15.92,0.27,0.76,0.83,0.0023,1
compromised_bot,801,424,6348,40.89,0.53,0.9,0.71,0.0033,1
compromised_bot,889,321,7738,17.01,0.56,0.68,0.79,0.0059,1
active_human,792,256,315,2.38,0.71,0.13,0.24,0.0241,0
active_human,973,411,494,2.21,0.84,0.03,0.4,0.1175,0
spambot,4,39,6040,18.61,0.11,0.77,0.86,0.0026,1
spambot,21,24,6111,51.77,0.37,0.84,0.88,0.0015,1
creator_human,1441,64132,434,4.15,0.91,0.11,0.27,0.1395,0
active_human,214,736,536,1.13,0.96,0.24,0.22,0.0793,0
creator_human,907,17469,127,1.9,0.95,0.12,0.3,0.0457,0
compromised_bot,2126,486,6966,40.93,0.65,0.75,0.73,0.0057,1
active_human,359,391,342,1.07,0.77,0.2,0.11,0.1187,0
active_human,260,404,313,1.37,0.83,0.32,0.19,0.0905,0
active_human,625,145,218,0.79,0.82,0.11,0.38,0.0801,0
compromised_bot,2477,1276,4827,32.79,0.54,0.85,0.9,0.0013,1
compromised_bot,1912,887,6132,13.17,0.6,0.68,0.8,0.0064,1
compromised_bot,818,596,4500,21.1,0.8,0.76,0.69,0.0055,1
active_human,1050,870,824,1.23,0.93,0.21,0.21,0.1063,0
lurker_human,402,31,182,0.07,0.6,0.07,0.2,0.0482,0
follow_bot,54,127,7986,0.83,0.53,0.91,0.76,0.0001,1
compromised_bot,1514,250,7354,16.9,0.67,0.71,0.65,0.0053,1
lurker_human,517,54,185,0.05,0.61,0.09,0.12,0.0307,0
active_human,720,112,130,0.88,0.72,0.24,0.29,0.0715,0
creator_human,1522,42645,781,4.15,0.9,0.1,0.31,0.063,0
follow_bot,43,108,3145,1.17,0.26,0.91,0.46,0.0005,1
follow_bot,37,138,3661,0.13,0.46,0.94,0.62,0.0005,1
active_human,514,1927,1396,1.75,0.95,0.21,0.37,0.0973,0
active_human,954,965,877,1.02,0.9,0.17,0.26,0.0524,0
active_human,774,1161,1145,1.54,0.81,0.23,0.39,0.0675,0
active_human,350,460,341,0.4,0.74,0.04,0.38,0.0754,0
active_human,283,43,87,2.01,0.71,0.31,0.26,0.0921,0
active_human,730,161,135,1.8,0.82,0.07,0.15,0.0703,0
active_human,438,110,102,0.73,0.92,0.17,0.28,0.0565,0
active_human,245,305,341,1.8,0.82,0.1,0.19,0.0824,0
lurker_human,282,81,305,0.04,0.53,0.06,0.26,0.0467,0
spambot,1,6,7193,39.07,0.11,0.77,0.93,0.0004,1
lurker_human,464,101,222,0.02,0.53,0.04,0.21,0.035,0
active_human,434,381,513,1.11,0.9,0.04,0.18,0.1041,0
active_human,514,511,607,1.66,0.76,0.06,0.13,0.0916,0
active_human,242,112,152,2.0,0.95,0.1,0.37,0.0982,0
active_human,480,222,237,2.04,0.7,0.03,0.17,0.0572,0
lurker_human,1454,51,223,0.01,0.75,0.08,0.13,0.054,0
active_human,283,90,173,1.48,0.86,0.04,0.31,0.0292,0
compromised_bot,2286,287,3960,24.47,0.77,0.87,0.78,0.0017,1
active_human,633,545,533,1.26,0.73,0.02,0.27,0.0933,0
creator_human,1028,44206,599,2.83,0.98,0.22,0.32,0.0313,0
spambot,22,24,4134,52.81,0.39,0.83,0.87,0.0004,1
active_human,382,142,147,1.15,0.73,0.03,0.27,0.0761,0
creator_human,1082,37199,258,1.08,0.9,0.18,0.18,0.1134,0
spambot,61,35,2367,40.86,0.25,0.74,0.83,0.0013,1
active_human,736,821,1190,1.17,0.88,0.08,0.16,0.0562,0
active_human,166,273,257,0.8,0.61,0.06,0.32,0.0966,0
active_human,1272,335,422,0.23,0.9,0.05,0.18,0.0356,0
follow_bot,47,103,5297,0.89,0.34,0.9,0.71,0.0002,1
active_human,166,104,165,0.32,0.72,0.05,0.24,0.1172,0
creator_human,1515,6408,426,3.39,0.93,0.25,0.2,0.0785,0
lurker_human,325,36,147,0.02,0.56,0.06,0.09,0.0573,0
follow_bot,6,93,3097,1.31,0.38,0.96,0.52,0.0016,1
active_human,561,240,280,0.79,0.9,0.13,0.17,0.0651,0
compromised_bot,1849,1080,5613,12.28,0.66,0.92,0.76,0.0045,1
active_human,914,366,466,0.67,0.65,0.18,0.26,0.0358,0
spambot,24,11,6443,57.86,0.42,0.78,0.99,0.0004,1
active_human,310,343,402,2.23,0.65,0.03,0.15,0.0213,0
creator_human,2370,16713,1121,3.56,0.88,0.22,0.31,0.0949,0
spambot,6,15,7069,56.08,0.26,0.8,0.87,0.0025,1
